Front Right,Rear Left,Rear Right,Front Left,Time
2.3073949813842773,2.4132144451141357,2.510505199432373,2.856076717376709,15820.0
2.303920269012451,2.408792018890381,2.507662296295166,2.8478639125823975,15821.0
2.305499792098999,2.410055637359619,2.506082773208618,2.8500750064849854,15821.0
2.302656888961792,2.407212734222412,2.5029239654541016,2.8472321033477783,15821.0
2.299182176589966,2.406580924987793,2.504819393157959,2.8405988216400146,15821.0
2.302656888961792,2.4056332111358643,2.502608299255371,2.845968723297119,15821.0
2.3086583614349365,2.413846254348755,2.5095574855804443,2.8522863388061523,15822.0
2.308974266052246,2.4147937297821045,2.511137008666992,2.8529179096221924,15822.0
2.3115015029907227,2.416689157485962,2.5136640071868896,2.851654529571533,15822.0
2.310553789138794,2.415109634399414,2.5079782009124756,2.853233814239502,15822.0
2.3092901706695557,2.4125826358795166,2.5092415809631348,2.853233814239502,15822.0
2.294759750366211,2.396472930908203,2.4931318759918213,2.8349130153656006,15823.0
2.2938122749328613,2.398684024810791,2.49471116065979,2.834597110748291,15823.0
2.289073944091797,2.3983681201934814,2.4956588745117188,2.8320698738098145,15823.0
2.2966551780700684,2.39994740486145,2.4959747791290283,2.8355445861816406,15823.0
2.296970844268799,2.3983681201934814,2.496290683746338,2.8393352031707764,15823.0
2.3036043643951416,2.411634922027588,2.50418758392334,2.845968723297119,15824.0
2.3042361736297607,2.4040539264678955,2.5010287761688232,2.8450210094451904,15824.0
2.3017091751098633,2.4068968296051025,2.5016605854034424,2.8443892002105713,15824.0
2.3086583614349365,2.4097397327423096,2.505451202392578,2.8469161987304688,15824.0
2.3013932704925537,2.405949115753174,2.4988176822662354,2.842494010925293,15824.0
2.2922327518463135,2.395209312438965,2.4909205436706543,2.8349130153656006,15825.0
2.293180465698242,2.39931583404541,2.49471116065979,2.831122398376465,15825.0
2.296970844268799,2.4002633094787598,2.493447780609131,2.8371241092681885,15825.0
2.2950756549835205,2.400895118713379,2.4943952560424805,2.8383874893188477,15825.0
2.2985503673553467,2.4027903079986572,2.496290683746338,2.839651107788086,15825.0
2.296023368835449,2.4005792140960693,2.4972381591796875,2.8361763954162598,15826.0
2.2966551780700684,2.4002633094787598,2.495342969894409,2.8371241092681885,15826.0
2.301077365875244,2.4075286388397217,2.5016605854034424,2.8462846279144287,15826.0
2.300445556640625,2.4046857357025146,2.498501777648926,2.8405988216400146,15826.0
2.2957074642181396,2.4005792140960693,2.4956588745117188,2.839019298553467,15826.0
2.289705753326416,2.397104501724243,2.4931318759918213,2.828911304473877,15827.0
2.2966551780700684,2.4005792140960693,2.497554063796997,2.834597110748291,15827.0
2.292548656463623,2.394261598587036,2.489657163619995,2.8308064937591553,15827.0
2.2893898487091064,2.394261598587036,2.4858665466308594,2.8263840675354004,15827.0
2.2893898487091064,2.3948934078216553,2.4887094497680664,2.82669997215271,15827.0
2.300445556640625,2.4056332111358643,2.500396966934204,2.841862201690674,15828.0
2.302025079727173,2.4034221172332764,2.501344680786133,2.842494010925293,15828.0
2.3023409843444824,2.408792018890381,2.5057668685913086,2.845968723297119,15828.0
2.310553789138794,2.4132144451141357,2.507662296295166,2.8522863388061523,15828.0
2.3058154582977295,2.414477825164795,2.508925676345825,2.8437576293945312,15828.0
2.302025079727173,2.4084763526916504,2.5057668685913086,2.8462846279144287,15829.0
2.3029725551605225,2.4056332111358643,2.5022923946380615,2.8462846279144287,15829.0
2.30486798286438,2.4097397327423096,2.502608299255371,2.8453369140625,15829.0
2.303920269012451,2.405317544937134,2.5029239654541016,2.8456528186798096,15829.0
2.3051838874816895,2.407212734222412,2.5029239654541016,2.8453369140625,15829.0
2.311185598373413,2.414477825164795,2.512716293334961,2.852602005004883,15830.0
2.3086583614349365,2.4132144451141357,2.509873390197754,2.8541815280914307,15830.0
2.3058154582977295,2.4119508266448975,2.5073463916778564,2.8484957218170166,15830.0
2.302656888961792,2.408160448074341,2.501344680786133,2.839651107788086,15830.0
2.3108696937561035,2.415741443634033,2.5124003887176514,2.853233814239502,15830.0
2.299182176589966,2.4027903079986572,2.4994494915008545,2.839651107788086,15831.0
2.303288459777832,2.4091079235076904,2.5057668685913086,2.847548007965088,15831.0
2.2972867488861084,2.406580924987793,2.503239870071411,2.8469161987304688,15831.0
2.3023409843444824,2.403738021850586,2.498185873031616,2.842494010925293,15831.0
2.2994980812072754,2.403106212615967,2.5000810623168945,2.8421781063079834,15831.0
2.3017091751098633,2.4018428325653076,2.4994494915008545,2.8421781063079834,15832.0
2.299182176589966,2.4046857357025146,2.5000810623168945,2.8393352031707764,15832.0
2.3051838874816895,2.4154255390167236,2.5073463916778564,2.845968723297119,15832.0
2.3080267906188965,2.4135303497314453,2.512716293334961,2.8535497188568115,15832.0
2.308974266052246,2.415741443634033,2.5152432918548584,2.851022720336914,15832.0
2.302025079727173,2.4091079235076904,2.50418758392334,2.849759101867676,15833.0
2.3042361736297607,2.408160448074341,2.5051352977752686,2.8491275310516357,15833.0
2.303920269012451,2.4091079235076904,2.5051352977752686,2.8494434356689453,15833.0
2.3042361736297607,2.4075286388397217,2.5051352977752686,2.8456528186798096,15833.0
2.302025079727173,2.407212734222412,2.504819393157959,2.8462846279144287,15833.0
